base_country,to_country,distance,distance_units,transaction_cost
AF,JM,8166.370134394337,16.0,26.0
AF,JO,1846.0669136946267,4.0,14.0
AF,JP,3899.8239676547746,8.0,18.0
AF,KE,3038.235403443284,6.0,16.0
AF,KG,632.9897977614909,1.0,11.0
AF,KH,2765.4251829639934,6.0,16.0
AF,KI,8248.423327997276,16.0,26.0
AF,KM,3531.8574192755923,7.0,17.0
AF,KN,7623.917679467662,15.0,25.0
AF,KP,3260.9212035446008,7.0,17.0
AF,KR,3349.83680736451,7.0,17.0
AF,KW,1229.9534484308788,2.0,12.0
AF,KY,8194.33408988741,16.0,26.0
AF,KZ,973.7172353391919,2.0,12.0
AF,LA,2338.8129353131258,5.0,15.0
AF,LB,1819.024843642414,4.0,14.0
AF,LC,7715.306349846989,15.0,25.0
AF,LI,3109.620326766469,6.0,16.0
AF,LK,1983.9791782993186,4.0,14.0
AF,LR,5234.438220388192,10.0,20.0
AF,LS,5091.241514390368,10.0,20.0
AF,LT,2546.6393998009326,5.0,15.0
AF,LU,3251.1363742851713,7.0,17.0
AF,LV,2556.998274663772,5.0,15.0
